co_natureza_juridica,ds_natureza_juridica,co_organizacao_n1,ds_organizacao_n1,co_organizacao_n2,ds_organizacao_n2,co_organizacao_n3,ds_organizacao_n3,an_lanc,me_lanc,va_custo_pessoal_inativo
2,FUNDACAO PUBLICA,267175,"MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACOES",8,CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO,-9,NAO SE APLICA,2020,12,4145559.0
2,FUNDACAO PUBLICA,267175,"MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACOES",8,CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO,-9,NAO SE APLICA,2020,11,4162014.87
2,FUNDACAO PUBLICA,235876,MINISTERIO DA ECONOMIA,7,INSTITUTO DE PESQUISA ECONOMICA APLICADA,-9,NAO SE APLICA,2020,4,10464282.1
2,FUNDACAO PUBLICA,235876,MINISTERIO DA ECONOMIA,7,INSTITUTO DE PESQUISA ECONOMICA APLICADA,-9,NAO SE APLICA,2020,1,10465057.95
4,AUTARQUIA,3159,MINISTERIO DAS COMUNICACOES,25064,AGENCIA NACIONAL DE TELECOMUNICACOES,122041,SUPERINTENDENCIA DE OUTORGA E RECURSOS A PRESTACAO,2015,11,7647.65
4,AUTARQUIA,3159,MINISTERIO DAS COMUNICACOES,25064,AGENCIA NACIONAL DE TELECOMUNICACOES,122041,SUPERINTENDENCIA DE OUTORGA E RECURSOS A PRESTACAO,2015,10,6836.71
4,AUTARQUIA,3159,MINISTERIO DAS COMUNICACOES,25064,AGENCIA NACIONAL DE TELECOMUNICACOES,122041,SUPERINTENDENCIA DE OUTORGA E RECURSOS A PRESTACAO,2015,12,7647.65
4,AUTARQUIA,1988,"MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACAO E COMUNICACOES",25064,AGENCIA NACIONAL DE TELECOMUNICACOES,122041,SUPERINTENDENCIA DE OUTORGA E RECURSOS A PRESTACAO,2016,10,24458.99
4,AUTARQUIA,1988,"MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACAO E COMUNICACOES",25064,AGENCIA NACIONAL DE TELECOMUNICACOES,122041,SUPERINTENDENCIA DE OUTORGA E RECURSOS A PRESTACAO,2016,2,15459.94
4,AUTARQUIA,1988,"MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACAO E COMUNICACOES",25064,AGENCIA NACIONAL DE TELECOMUNICACOES,122041,SUPERINTENDENCIA DE OUTORGA E RECURSOS A PRESTACAO,2016,7,15459.94
4,AUTARQUIA,1988,"MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACAO E COMUNICACOES",25064,AGENCIA NACIONAL DE TELECOMUNICACOES,122041,SUPERINTENDENCIA DE OUTORGA E RECURSOS A PRESTACAO,2016,3,15459.94
4,AUTARQUIA,1988,"MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACAO E COMUNICACOES",25064,AGENCIA NACIONAL DE TELECOMUNICACOES,122041,SUPERINTENDENCIA DE OUTORGA E RECURSOS A PRESTACAO,2016,5,15459.94
4,AUTARQUIA,1988,"MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACAO E COMUNICACOES",25064,AGENCIA NACIONAL DE TELECOMUNICACOES,122041,SUPERINTENDENCIA DE OUTORGA E RECURSOS A PRESTACAO,2016,11,16239.72
4,AUTARQUIA,1988,"MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACAO E COMUNICACOES",25064,AGENCIA NACIONAL DE TELECOMUNICACOES,122041,SUPERINTENDENCIA DE OUTORGA E RECURSOS A PRESTACAO,2016,6,15459.94
4,AUTARQUIA,1988,"MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACAO E COMUNICACOES",25064,AGENCIA NACIONAL DE TELECOMUNICACOES,122041,SUPERINTENDENCIA DE OUTORGA E RECURSOS A PRESTACAO,2016,8,24000.99
4,AUTARQUIA,1988,"MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACAO E COMUNICACOES",25064,AGENCIA NACIONAL DE TELECOMUNICACOES,122041,SUPERINTENDENCIA DE OUTORGA E RECURSOS A PRESTACAO,2016,1,15589.0
4,AUTARQUIA,1988,"MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACAO E COMUNICACOES",25064,AGENCIA NACIONAL DE TELECOMUNICACOES,122041,SUPERINTENDENCIA DE OUTORGA E RECURSOS A PRESTACAO,2016,9,24458.99
4,AUTARQUIA,1988,"MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACAO E COMUNICACOES",25064,AGENCIA NACIONAL DE TELECOMUNICACOES,122041,SUPERINTENDENCIA DE OUTORGA E RECURSOS A PRESTACAO,2016,12,32678.26
4,AUTARQUIA,1988,"MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACAO E COMUNICACOES",25064,AGENCIA NACIONAL DE TELECOMUNICACOES,122041,SUPERINTENDENCIA DE OUTORGA E RECURSOS A PRESTACAO,2016,4,15459.94
4,AUTARQUIA,1988,"MINISTERIO DA CIENCIA, TECNOLOGIA, INOVACOES E COMUNICACOES",25064,AGENCIA NACIONAL DE TELECOMUNICACOES,122041,SUPERINTENDENCIA DE OUTORGA E RECURSOS A PRESTACAO,2017,12,31064.36
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,463,UNIVERSIDADE FEDERAL DE LAVRAS,-9,NAO SE APLICA,2020,5,5976614.42
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,463,UNIVERSIDADE FEDERAL DE LAVRAS,-9,NAO SE APLICA,2020,10,3139.86
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,463,UNIVERSIDADE FEDERAL DE LAVRAS,-9,NAO SE APLICA,2020,7,5956618.79
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,463,UNIVERSIDADE FEDERAL DE LAVRAS,-9,NAO SE APLICA,2020,4,5943301.03
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,463,UNIVERSIDADE FEDERAL DE LAVRAS,-9,NAO SE APLICA,2020,11,3139.86
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,463,UNIVERSIDADE FEDERAL DE LAVRAS,-9,NAO SE APLICA,2020,3,5916716.47
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,463,UNIVERSIDADE FEDERAL DE LAVRAS,-9,NAO SE APLICA,2020,1,5945644.25
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,463,UNIVERSIDADE FEDERAL DE LAVRAS,-9,NAO SE APLICA,2020,12,5976817.17
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,463,UNIVERSIDADE FEDERAL DE LAVRAS,-9,NAO SE APLICA,2020,9,5980526.57
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,463,UNIVERSIDADE FEDERAL DE LAVRAS,-9,NAO SE APLICA,2020,2,5916716.47
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,463,UNIVERSIDADE FEDERAL DE LAVRAS,-9,NAO SE APLICA,2020,8,5991390.81
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,462,UNIVERSIDADE FEDERAL DE ITAJUBA,-9,NAO SE APLICA,2020,7,3705664.83
